Category,Challenge_ID,Prompt_Text
Countries,coffee_consumption,Rank these countries by coffee consumption (highest to lowest)
Countries,chocolate_consumption,Rank these countries by chocolate consumption (highest to lowest)
Countries,wine_consumption,Rank these countries by wine consumption (highest to lowest)
Countries,mcdonalds_per_capita,Rank these countries by McDonald's per capita (highest to lowest)
Countries,sleep_hours,Rank these countries by sleep hours per night (highest to lowest)
Countries,happiness_ranking,Rank these countries by happiness (happiest to least happy)
Countries,vacation_days,Rank these countries by vacation days per year (highest to lowest)
Countries,retirement_age,Rank these countries by retirement age (highest to lowest)
Countries,internet_penetration,Rank these countries by internet penetration (highest to lowest)
Countries,daily_internet_usage,Rank these countries by daily internet usage hours (highest to lowest)
Countries,social_media_usage,Rank these countries by social media usage rate (highest to lowest)
Countries,digital_payment_adoption,Rank these countries by digital payment adoption (highest to lowest)
Countries,ev_adoption,Rank these countries by electric vehicle adoption (highest to lowest)
Countries,cost_of_living,Rank these countries by cost of living index (highest to lowest)
Countries,nobel_prizes_per_capita,Rank these countries by Nobel prizes per capita (highest to lowest)
Countries,olympic_medals_per_capita,Rank these countries by Olympic medals per capita (highest to lowest)
Countries,unesco_sites,Rank these countries by UNESCO World Heritage sites (highest to lowest)
Countries,population_density,Rank these countries by population density (highest to lowest)
Countries,average_temperature,Rank these countries by average temperature (highest to lowest)
Countries,literacy_rate,Rank these countries by literacy rate (highest to lowest)
Countries,birth_rate,Rank these countries by birth rate (highest to lowest)
Countries,urban_population,Rank these countries by urban population percentage (highest to lowest)
Countries,land_area,Rank these countries by land area (largest to smallest)
Countries,water_area,Rank these countries by water area percentage (highest to lowest)
Countries,agricultural_land,Rank these countries by agricultural land percentage (highest to lowest)
Countries,mobile_subscriptions,Rank these countries by mobile subscriptions per 100 people (highest to lowest)
Countries,life_expectancy,Rank these countries by life expectancy (highest to lowest)
Countries,big_mac_price,Rank these countries by Big Mac price (highest to lowest)
Countries,average_rainfall,Rank these countries by average rainfall (highest to lowest)
Countries,working_hours,Rank these countries by average working hours per week (highest to lowest)
Countries,forest_coverage,Rank these countries by forest coverage percentage (highest to lowest)
Countries,minimum_wage,Rank these countries by minimum wage (highest to lowest)
Countries,recycling_rate,Rank these countries by recycling rate (highest to lowest)
Movies,box_office_gross,Rank these movies by box office gross (highest to lowest)
Movies,production_budget,Rank these movies by production budget (highest to lowest)
Movies,runtime_minutes,Rank these movies by runtime (longest to shortest)
Movies,imdb_rating,Rank these movies by IMDb rating (highest to lowest)
Movies,rotten_tomatoes,Rank these movies by Rotten Tomatoes score (highest to lowest)
Movies,metacritic_score,Rank these movies by Metacritic score (highest to lowest)
Movies,release_year,Rank these movies by release year (newest to oldest)
Movies,opening_weekend,Rank these movies by opening weekend gross (highest to lowest)
Movies,international_gross,Rank these movies by international gross (highest to lowest)
Movies,oscar_nominations,Rank these movies by Oscar nominations (highest to lowest)
Movies,oscar_wins,Rank these movies by Oscar wins (highest to lowest)
Movies,screen_count,Rank these movies by number of screens (highest to lowest)
Movies,marketing_budget,Rank these movies by marketing budget (highest to lowest)
Movies,profit_margin,Rank these movies by profit margin (highest to lowest)
Movies,weeks_in_theaters,Rank these movies by weeks in theaters (highest to lowest)
Movies,dvd_sales,Rank these movies by DVD sales (highest to lowest)
Movies,streaming_views,Rank these movies by streaming views (highest to lowest)
Movies,social_media_mentions,Rank these movies by social media mentions (highest to lowest)
Movies,franchise_value,Rank these movies by franchise value (highest to lowest)
Movies,director_previous_hits,Rank these movies by director previous hits (highest to lowest)
Movies,star_power_rating,Rank these movies by star power rating (highest to lowest)
Movies,production_days,Rank these movies by production days (highest to lowest)
Movies,cgi_budget,Rank these movies by CGI budget (highest to lowest)
Movies,soundtrack_sales,Rank these movies by soundtrack sales (highest to lowest)
Movies,merchandising_revenue,Rank these movies by merchandising revenue (highest to lowest)
Movies,sequel_count,Rank these movies by number of sequels (highest to lowest)
Movies,remake_count,Rank these movies by number of remakes (highest to lowest)
Movies,cultural_impact_score,Rank these movies by cultural impact score (highest to lowest)
Movies,box_office_multiple,Rank these movies by box office multiple (highest to lowest)
Movies,award_ceremonies_count,Rank these movies by award ceremonies count (highest to lowest)
Movies,home_video_revenue,Rank these movies by home video revenue (highest to lowest)
Movies,international_markets,Rank these movies by international markets count (highest to lowest)
Movies,fan_rating_average,Rank these movies by fan rating average (highest to lowest)
Sports Teams,team_value,Rank these teams by team value (highest to lowest)
Sports Teams,annual_revenue,Rank these teams by annual revenue (highest to lowest)
Sports Teams,championship_count,Rank these teams by championship count (highest to lowest)
Sports Teams,fan_base_size,Rank these teams by fan base size (highest to lowest)
Sports Teams,stadium_capacity,Rank these teams by stadium capacity (highest to lowest)
Sports Teams,ticket_price_average,Rank these teams by average ticket price (highest to lowest)
Sports Teams,payroll_total,Rank these teams by total payroll (highest to lowest)
Sports Teams,social_media_followers,Rank these teams by social media followers (highest to lowest)
Sports Teams,merchandise_sales,Rank these teams by merchandise sales (highest to lowest)
Sports Teams,tv_viewership,Rank these teams by TV viewership (highest to lowest)
Sports Teams,all_time_wins,Rank these teams by all-time wins (highest to lowest)
Sports Teams,playoff_appearances,Rank these teams by playoff appearances (highest to lowest)
Sports Teams,hall_of_fame_players,Rank these teams by Hall of Fame players (highest to lowest)
Sports Teams,home_attendance,Rank these teams by home attendance (highest to lowest)
Sports Teams,sponsorship_deals,Rank these teams by sponsorship deals (highest to lowest)
Sports Teams,draft_picks_value,Rank these teams by draft picks value (highest to lowest)
Sports Teams,injury_rate,Rank these teams by injury rate (lowest to highest)
Sports Teams,coaching_staff_size,Rank these teams by coaching staff size (highest to lowest)
Sports Teams,community_impact,Rank these teams by community impact score (highest to lowest)
Sports Teams,international_games,Rank these teams by international games played (highest to lowest)
Sports Teams,player_salaries_avg,Rank these teams by average player salary (highest to lowest)
Sports Teams,season_wins,Rank these teams by wins this season (highest to lowest)
Sports Teams,social_responsibility,Rank these teams by social responsibility score (highest to lowest)
Sports Teams,digital_engagement,Rank these teams by digital engagement score (highest to lowest)
Sports Teams,youth_programs,Rank these teams by youth programs funded (highest to lowest)
Sports Teams,sustainability_score,Rank these teams by sustainability score (highest to lowest)
Sports Teams,local_economic_impact,Rank these teams by local economic impact (highest to lowest)
Sports Teams,international_fanbase,Rank these teams by international fanbase (highest to lowest)
Sports Teams,media_coverage,Rank these teams by media coverage hours (highest to lowest)
Sports Teams,facility_quality,Rank these teams by facility quality score (highest to lowest)
Sports Teams,player_development,Rank these teams by player development score (highest to lowest)
Sports Teams,brand_recognition,Rank these teams by brand recognition score (highest to lowest)
Sports Teams,competitive_balance,Rank these teams by competitive balance score (highest to lowest)
Companies,market_cap,Rank these companies by market capitalization (highest to lowest)
Companies,annual_revenue,Rank these companies by annual revenue (highest to lowest)
Companies,employee_count,Rank these companies by employee count (highest to lowest)
Companies,profit_margin,Rank these companies by profit margin (highest to lowest)
Companies,rd_spending,Rank these companies by R&D spending (highest to lowest)
Companies,brand_value,Rank these companies by brand value (highest to lowest)
Companies,customer_satisfaction,Rank these companies by customer satisfaction (highest to lowest)
Companies,environmental_score,Rank these companies by environmental score (highest to lowest)
Companies,global_offices,Rank these companies by number of global offices (highest to lowest)
Companies,patents_held,Rank these companies by patents held (highest to lowest)
Companies,ceo_approval,Rank these companies by CEO approval rating (highest to lowest)
Companies,diversity_index,Rank these companies by diversity index (highest to lowest)
Companies,innovation_score,Rank these companies by innovation score (highest to lowest)
Companies,social_impact,Rank these companies by social impact score (highest to lowest)
Companies,work_life_balance,Rank these companies by work-life balance score (highest to lowest)
Companies,stock_performance,Rank these companies by stock performance (highest to lowest)
Companies,advertising_spend,Rank these companies by advertising spend (highest to lowest)
Companies,data_centers,Rank these companies by number of data centers (highest to lowest)
Companies,charitable_giving,Rank these companies by charitable giving (highest to lowest)
Companies,digital_transformation,Rank these companies by digital transformation score (highest to lowest)
Companies,revenue_growth,Rank these companies by revenue growth rate (highest to lowest)
Companies,market_share,Rank these companies by market share in their sector (highest to lowest)
Companies,employee_satisfaction,Rank these companies by employee satisfaction score (highest to lowest)
Companies,cybersecurity_score,Rank these companies by cybersecurity score (highest to lowest)
Companies,supply_chain_efficiency,Rank these companies by supply chain efficiency (highest to lowest)
Companies,international_presence,Rank these companies by international presence (highest to lowest)
Companies,startup_acquisitions,Rank these companies by startup acquisitions (highest to lowest)
Companies,cloud_infrastructure,Rank these companies by cloud infrastructure investment (highest to lowest)
Companies,ai_investment,Rank these companies by AI investment (highest to lowest)
Companies,debt_to_equity,Rank these companies by debt-to-equity ratio (lowest to highest)
Companies,cash_reserves,Rank these companies by cash reserves (highest to lowest)
Companies,sustainability_initiatives,Rank these companies by sustainability initiatives (highest to lowest)
Companies,regulatory_compliance,Rank these companies by regulatory compliance score (highest to lowest)