Country,Birth Rate (per 1000),Life Expectancy (years),Population 0-14 (%),Population 65+ (%),Total Population,GDP (current US$),GDP Growth (%),Broadband Subscriptions (per 100),Mobile Subscriptions (per 100),Secure Internet Servers (per 1M),Electricity from Coal (%),Electricity from Oil (%),Forest Area (%),Renewable Energy (%),Health Expenditure (% GDP),Tertiary Education Enrollment (%),Female Labor Participation (%),Patent Applications,Rural Population (%),Unemployment Rate (%),UNESCO Total Sites,UNESCO Cultural Sites,UNESCO Natural Sites,UNESCO Mixed Sites,Life Evaluation Score,Forest Coverage (%),Irrigated Land (kmÂ²),Soybean Production (tonnes),Healthy Diet Cost (PPP $/day),Nobel Laureates Total
Manual,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,World Bank API,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,UNESCO World Heritage Centre,World Happiness Report,FAO via Wikipedia,CIA World Factbook via Wikipedia,FAO FAOSTAT,FAO SOFI Report,Wikipedia Nobel Lists
Current,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,July 2025,July 2025,July 2025,July 2025,2024,2022,2020,2023,2024,July 2025
Argentina,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,9.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12,7,5,0,6.397,9.8,23600,25044978,,5
Australia,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,17.4,TBD,TBD,TBD,TBD,TBD,TBD,TBD,21,5,12,4,6.974,17.4,15210,52000,2.9,14
Austria,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,47.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12,11,1,0,6.81,47.2,382,274960,2.76,25
Belgium,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,22.6,TBD,TBD,TBD,TBD,TBD,TBD,TBD,16,15,1,0,6.91,22.6,57,,2.56,11
Brazil,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,58.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,25,15,9,1,6.494,58.1,69029,152144238,4.25,1
Canada,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,39.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,22,10,11,1,6.803,39.5,9045,6980525,3.89,28
Chile,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,23.9,TBD,TBD,TBD,TBD,TBD,TBD,TBD,7,7,0,0,6.361,23.9,11100,,4.54,2
China,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,23.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,60,41,15,4,5.921,23.8,691600,19496297,3.35,8
Colombia,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,52.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,9,6,2,1,6.004,52.2,10900,196414,4.13,2
Czech Republic,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,34.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,17,16,1,0,6.775,34.7,220,63390,3.63,6
Denmark,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,15.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12,8,4,0,7.521,15.8,2360,0,2.73,14
Egypt,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,0.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,7,6,1,0,3.817,0.1,36000,9,,4
Finland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,73.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,7,6,1,0,7.736,73.7,80,0,3.29,5
France,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,31.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,54,45,7,2,6.593,31.8,14236,387820,3.42,75
Germany,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,32.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,55,52,3,0,6.753,32.7,5056,129000,3.56,115
Iceland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,0.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,3,1,2,0,7.515,0.5,0.5,0,3.02,1
India,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,24.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,44,36,7,1,4.389,24.1,715539,14984927,3.36,13
Indonesia,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,49.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,10,6,4,0,5.617,49.1,91360,326493,4.64,0
Ireland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,11.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,2,2,0,0,6.889,11.5,0,0,2.48,11
Israel,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,9,9,0,0,7.234,6.5,2159,0,3.02,13
Italy,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,32.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,61,55,6,0,6.415,32.7,26010,1095940,3.61,21
Japan,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,68.4,TBD,TBD,TBD,TBD,TBD,TBD,TBD,26,21,5,1,6.147,68.4,15730,260800,6.54,31
Malaysia,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,58.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6,4,2,0,5.955,58.2,4420,,3.77,0
Mexico,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,33.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,36,28,6,2,6.979,33.8,60620,199163,3.89,3
Netherlands,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,11.0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,13,12,1,0,7.306,11.0,2969,0,2.9,22
New Zealand,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,37.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,3,0,2,1,6.952,37.7,7000,,3.21,3
Norway,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,33.5,TBD,TBD,TBD,TBD,TBD,TBD,TBD,8,7,1,0,7.262,33.5,337,0,4.01,14
Pakistan,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,4.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6,6,0,0,4.657,4.7,193400,9,3.82,2
Philippines,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,21.8,TBD,TBD,TBD,TBD,TBD,TBD,TBD,6,3,3,0,6.107,21.8,16270,616,4.1,1
Poland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,31.0,TBD,TBD,TBD,TBD,TBD,TBD,TBD,17,15,2,0,6.673,31.0,760,47030,3.91,18
Singapore,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,21.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,1,1,0,0,6.565,21.2,0,,3.48,0
South Africa,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,7.6,TBD,TBD,TBD,TBD,TBD,TBD,TBD,12,7,4,1,5.213,7.6,16700,2770000,3.74,11
Spain,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,37.2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,50,44,4,2,6.466,37.2,37593,7670,3.35,8
Sweden,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,68.7,TBD,TBD,TBD,TBD,TBD,TBD,TBD,15,13,1,1,7.345,68.7,519,0,3.56,34
Switzerland,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,32.3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,13,9,4,0,6.935,32.3,327,6949,2.85,25
Thailand,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,37.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,8,5,3,0,6.222,37.1,64150,20016,4.93,0
Turkey,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,29.3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,22,20,0,2,5.262,29.3,52150,137500,4.5,4
United Kingdom,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,13.3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,35,29,5,1,6.728,13.3,718,,2.12,142
United States,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,33.9,TBD,TBD,TBD,TBD,TBD,TBD,TBD,26,13,12,1,6.724,33.9,234782,113343420,2.63,420
Vietnam,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,45.1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,9,6,2,1,6.352,45.1,46000,48103,3.96,1
