Category,Code,Name,Type,Data_Source
"Countries","001","Argentina","Country","data.js"
"Countries","002","Australia","Country","data.js"
"Countries","003","Belgium","Country","data.js"
"Countries","004","Bangladesh","Country","data.js"
"Countries","005","Brazil","Country","data.js"
"Countries","006","Canada","Country","data.js"
"Countries","007","Chile","Country","data.js"
"Countries","008","China","Country","data.js"
"Countries","009","Germany","Country","data.js"
"Countries","010","Denmark","Country","data.js"
"Countries","011","Egypt","Country","data.js"
"Countries","012","Spain","Country","data.js"
"Countries","013","Finland","Country","data.js"
"Countries","014","France","Country","data.js"
"Countries","015","United Kingdom","Country","data.js"
"Countries","016","Greece","Country","data.js"
"Countries","017","Indonesia","Country","data.js"
"Countries","018","India","Country","data.js"
"Countries","019","Ireland","Country","data.js"
"Countries","020","Israel","Country","data.js"
"Countries","021","Italy","Country","data.js"
"Countries","022","Japan","Country","data.js"
"Countries","023","Kenya","Country","data.js"
"Countries","024","South Korea","Country","data.js"
"Countries","025","Mexico","Country","data.js"
"Countries","026","Malaysia","Country","data.js"
"Countries","027","Nigeria","Country","data.js"
"Countries","028","Netherlands","Country","data.js"
"Countries","029","Norway","Country","data.js"
"Countries","030","New Zealand","Country","data.js"
"Countries","031","Philippines","Country","data.js"
"Countries","032","Portugal","Country","data.js"
"Countries","033","Russia","Country","data.js"
"Countries","034","Saudi Arabia","Country","data.js"
"Countries","035","Thailand","Country","data.js"
"Countries","036","Turkey","Country","data.js"
"Countries","037","Taiwan","Country","data.js"
"Countries","038","United States","Country","data.js"
"Countries","039","Vietnam","Country","data.js"
"Countries","040","South Africa","Country","data.js"
"Movies","001","Aladdin (2019)","Movie","data.js"
"Movies","002","Alice in Wonderland (2010)","Movie","data.js"
"Movies","003","Aquaman","Movie","data.js"
"Movies","004","Avatar","Movie","data.js"
"Movies","005","Avengers: Endgame","Movie","data.js"
"Movies","006","Avengers: Infinity War","Movie","data.js"
"Movies","007","Barbie","Movie","data.js"
"Movies","008","Beauty and the Beast (2017)","Movie","data.js"
"Movies","009","Black Panther","Movie","data.js"
"Movies","010","Captain America: Civil War","Movie","data.js"
"Movies","011","The Dark Knight Rises","Movie","data.js"
"Movies","012","Deadpool","Movie","data.js"
"Movies","013","Despicable Me 3","Movie","data.js"
"Movies","014","Fast & Furious 6","Movie","data.js"
"Movies","015","Finding Dory","Movie","data.js"
"Movies","016","Frozen","Movie","data.js"
"Movies","017","Frozen 2","Movie","data.js"
"Movies","018","Furious 7","Movie","data.js"
"Movies","019","Guardians of the Galaxy","Movie","data.js"
"Movies","020","The Hobbit: An Unexpected Journey","Movie","data.js"
"Movies","021","Incredibles 2","Movie","data.js"
"Movies","022","Iron Man 3","Movie","data.js"
"Movies","023","Joker","Movie","data.js"
"Movies","024","Jurassic World Dominion","Movie","data.js"
"Movies","025","Jurassic World: Fallen Kingdom","Movie","data.js"
"Movies","026","Jurassic World","Movie","data.js"
"Movies","027","Minions","Movie","data.js"
"Movies","028","Pirates of the Caribbean: Dead Man's Chest","Movie","data.js"
"Movies","029","Rogue One: A Star Wars Story","Movie","data.js"
"Movies","030","Skyfall","Movie","data.js"
"Movies","031","Spider-Man: No Way Home","Movie","data.js"
"Movies","032","Star Wars: The Force Awakens","Movie","data.js"
"Movies","033","The Lion King (2019)","Movie","data.js"
"Movies","034","Titanic","Movie","data.js"
"Movies","035","Top Gun: Maverick","Movie","data.js"
"Movies","036","Toy Story 3","Movie","data.js"
"Movies","037","Toy Story 4","Movie","data.js"
"Movies","038","Transformers: Age of Extinction","Movie","data.js"
"Movies","039","Transformers: Dark of the Moon","Movie","data.js"
"Movies","040","Zootopia","Movie","data.js"
"Sports Teams","001","AC Milan","sports","data.js"
"Sports Teams","002","Arsenal FC","sports","data.js"
"Sports Teams","003","Atlanta Braves","sports","data.js"
"Sports Teams","004","Atletico Madrid","sports","data.js"
"Sports Teams","005","Bayern Munich","sports","data.js"
"Sports Teams","006","Borussia Dortmund","sports","data.js"
"Sports Teams","007","Boston Bruins","sports","data.js"
"Sports Teams","008","Boston Celtics","sports","data.js"
"Sports Teams","009","Boston Red Sox","sports","data.js"
"Sports Teams","010","Chelsea FC","sports","data.js"
"Sports Teams","011","Chicago Blackhawks","sports","data.js"
"Sports Teams","012","Chicago Bulls","sports","data.js"
"Sports Teams","013","Chicago Cubs","sports","data.js"
"Sports Teams","014","Dallas Cowboys","sports","data.js"
"Sports Teams","015","Denver Broncos","sports","data.js"
"Sports Teams","016","Detroit Pistons","sports","data.js"
"Sports Teams","017","FC Barcelona","sports","data.js"
"Sports Teams","018","Golden State Warriors","sports","data.js"
"Sports Teams","019","Green Bay Packers","sports","data.js"
"Sports Teams","020","Houston Astros","sports","data.js"
"Sports Teams","021","Juventus","sports","data.js"
"Sports Teams","022","Kansas City Chiefs","sports","data.js"
"Sports Teams","023","Liverpool FC","sports","data.js"
"Sports Teams","024","Los Angeles Clippers","sports","data.js"
"Sports Teams","025","Los Angeles Dodgers","sports","data.js"
"Sports Teams","026","Los Angeles Lakers","sports","data.js"
"Sports Teams","027","Manchester City","sports","data.js"
"Sports Teams","028","Manchester United","sports","data.js"
"Sports Teams","029","Miami Heat","sports","data.js"
"Sports Teams","030","Montreal Canadiens","sports","data.js"
"Sports Teams","031","New England Patriots","sports","data.js"
"Sports Teams","032","New York Rangers","sports","data.js"
"Sports Teams","033","New York Yankees","sports","data.js"
"Sports Teams","034","Paris Saint-Germain","sports","data.js"
"Sports Teams","035","Philadelphia Eagles","sports","data.js"
"Sports Teams","036","Pittsburgh Penguins","sports","data.js"
"Sports Teams","037","Pittsburgh Steelers","sports","data.js"
"Sports Teams","038","Real Madrid","sports","data.js"
"Sports Teams","039","San Francisco Giants","sports","data.js"
"Sports Teams","040","Toronto Maple Leafs","sports","data.js"
"Companies","001","Adidas AG","Company","data.js"
"Companies","002","Alibaba Group","Company","data.js"
"Companies","003","Amazon.com Inc.","Company","data.js"
"Companies","004","Apple Inc.","Company","data.js"
"Companies","005","ASML Holding N.V.","Company","data.js"
"Companies","006","Atlassian Corporation","Company","data.js"
"Companies","007","Baidu Inc.","Company","data.js"
"Companies","008","Berkshire Hathaway Inc.","Company","data.js"
"Companies","009","ByteDance Ltd.","Company","data.js"
"Companies","010","The Coca-Cola Company","Company","data.js"
"Companies","011","The Walt Disney Company","Company","data.js"
"Companies","012","Alphabet Inc.","Company","data.js"
"Companies","013","Infosys Limited","Company","data.js"
"Companies","014","LVMH Moët Hennessy","Company","data.js"
"Companies","015","MercadoLibre Inc.","Company","data.js"
"Companies","016","Meta Platforms Inc.","Company","data.js"
"Companies","017","Microsoft Corporation","Company","data.js"
"Companies","018","monday.com Ltd.","Company","data.js"
"Companies","019","Nestlé S.A.","Company","data.js"
"Companies","020","Netflix Inc.","Company","data.js"
"Companies","021","Nintendo Co., Ltd.","Company","data.js"
"Companies","022","Nokia Corporation","Company","data.js"
"Companies","023","Noon.com","Company","data.js"
"Companies","024","NVIDIA Corporation","Company","data.js"
"Companies","025","Oracle Corporation","Company","data.js"
"Companies","026","Samsung Electronics","Company","data.js"
"Companies","027","SAP SE","Company","data.js"
"Companies","028","Shopify Inc.","Company","data.js"
"Companies","029","SoftBank Group Corp.","Company","data.js"
"Companies","030","Sony Group Corporation","Company","data.js"
"Companies","031","Spotify Technology S.A.","Company","data.js"
"Companies","032","Tata Consultancy Services","Company","data.js"
"Companies","033","Tencent Holdings","Company","data.js"
"Companies","034","Tesla Inc.","Company","data.js"
"Companies","035","Toyota Motor Corporation","Company","data.js"
"Companies","036","Taiwan Semiconductor Manufacturing Company","Company","data.js"
"Companies","037","Unilever PLC","Company","data.js"
"Companies","038","Volkswagen AG","Company","data.js"
"Companies","039","Walmart Inc.","Company","data.js"
"Companies","040","Zoom Video Communications Inc.","Company","data.js"